place of birth,age group,gender,year,province of residence,concept,value
another province of Galicia,15-19,total,2011,Ourense,population,390
another province of Galicia,15-19,total,2011,Pontevedra,population,1015
another province of Galicia,15-19,male,2001,total,population,2338
another province of Galicia,15-19,male,2001,A Coruña,population,836
another province of Galicia,15-19,male,2001,Lugo,population,326
another province of Galicia,15-19,male,2001,Ourense,population,218
another province of Galicia,15-19,male,2001,Pontevedra,population,958
another province of Galicia,15-19,male,2011,total,population,1463
another province of Galicia,15-19,male,2011,A Coruña,population,536
another province of Galicia,15-19,male,2011,Lugo,population,195
another province of Galicia,15-19,male,2011,Ourense,population,213
another province of Galicia,15-19,male,2011,Pontevedra,population,519
another province of Galicia,15-19,female,2001,total,population,2310
another province of Galicia,15-19,female,2001,A Coruña,population,871
another province of Galicia,15-19,female,2001,Lugo,population,311
another province of Galicia,15-19,female,2001,Ourense,population,234
another province of Galicia,15-19,female,2001,Pontevedra,population,894
another province of Galicia,15-19,female,2011,total,population,1378
another province of Galicia,15-19,female,2011,A Coruña,population,521
another province of Galicia,15-19,female,2011,Lugo,population,185
another province of Galicia,15-19,female,2011,Ourense,population,177
another province of Galicia,15-19,female,2011,Pontevedra,population,495
another province of Galicia,20-24,total,2001,total,population,7123
another province of Galicia,20-24,total,2001,A Coruña,population,2539
another province of Galicia,20-24,total,2001,Lugo,population,959
another province of Galicia,20-24,total,2001,Ourense,population,815
another province of Galicia,20-24,total,2001,Pontevedra,population,2810
another province of Galicia,20-24,total,2011,total,population,3918
another province of Galicia,20-24,total,2011,A Coruña,population,1494
another province of Galicia,20-24,total,2011,Lugo,population,541
another province of Galicia,20-24,total,2011,Ourense,population,480
another province of Galicia,20-24,total,2011,Pontevedra,population,1404
another province of Galicia,20-24,male,2001,total,population,3481
another province of Galicia,20-24,male,2001,A Coruña,population,1185
another province of Galicia,20-24,male,2001,Lugo,population,502
another province of Galicia,20-24,male,2001,Ourense,population,392
another province of Galicia,20-24,male,2001,Pontevedra,population,1402
another province of Galicia,20-24,male,2011,total,population,1934
another province of Galicia,20-24,male,2011,A Coruña,population,723
another province of Galicia,20-24,male,2011,Lugo,population,276
another province of Galicia,20-24,male,2011,Ourense,population,243
another province of Galicia,20-24,male,2011,Pontevedra,population,692
another province of Galicia,20-24,female,2001,total,population,3642
another province of Galicia,20-24,female,2001,A Coruña,population,1354
another province of Galicia,20-24,female,2001,Lugo,population,457
another province of Galicia,20-24,female,2001,Ourense,population,423
another province of Galicia,20-24,female,2001,Pontevedra,population,1408
another province of Galicia,20-24,female,2011,total,population,1985
another province of Galicia,20-24,female,2011,A Coruña,population,771
another province of Galicia,20-24,female,2011,Lugo,population,265
another province of Galicia,20-24,female,2011,Ourense,population,237
another province of Galicia,20-24,female,2011,Pontevedra,population,712
another province of Galicia,25-29,total,2001,total,population,8925
another province of Galicia,25-29,total,2001,A Coruña,population,3540
another province of Galicia,25-29,total,2001,Lugo,population,1042
another province of Galicia,25-29,total,2001,Ourense,population,934
another province of Galicia,25-29,total,2001,Pontevedra,population,3409
another province of Galicia,25-29,total,2011,total,population,6761
another province of Galicia,25-29,total,2011,A Coruña,population,2811
another province of Galicia,25-29,total,2011,Lugo,population,859
another province of Galicia,25-29,total,2011,Ourense,population,675
another province of Galicia,25-29,total,2011,Pontevedra,population,2415
another province of Galicia,25-29,male,2001,total,population,4213
another province of Galicia,25-29,male,2001,A Coruña,population,1636
another province of Galicia,25-29,male,2001,Lugo,population,477
another province of Galicia,25-29,male,2001,Ourense,population,431
another province of Galicia,25-29,male,2001,Pontevedra,population,1669
another province of Galicia,25-29,male,2011,total,population,3246
another province of Galicia,25-29,male,2011,A Coruña,population,1281
another province of Galicia,25-29,male,2011,Lugo,population,437
another province of Galicia,25-29,male,2011,Ourense,population,328
another province of Galicia,25-29,male,2011,Pontevedra,population,1201
another province of Galicia,25-29,female,2001,total,population,4712
another province of Galicia,25-29,female,2001,A Coruña,population,1904
another province of Galicia,25-29,female,2001,Lugo,population,565
another province of Galicia,25-29,female,2001,Ourense,population,503
another province of Galicia,25-29,female,2001,Pontevedra,population,1740
another province of Galicia,25-29,female,2011,total,population,3515
another province of Galicia,25-29,female,2011,A Coruña,population,1530
another province of Galicia,25-29,female,2011,Lugo,population,423
another province of Galicia,25-29,female,2011,Ourense,population,348
another province of Galicia,25-29,female,2011,Pontevedra,population,1215
another province of Galicia,30-34,total,2001,total,population,11458
another province of Galicia,30-34,total,2001,A Coruña,population,4998
another province of Galicia,30-34,total,2001,Lugo,population,1215
another province of Galicia,30-34,total,2001,Ourense,population,1099
another province of Galicia,30-34,total,2001,Pontevedra,population,4146
another province of Galicia,30-34,total,2011,total,population,11647
another province of Galicia,30-34,total,2011,A Coruña,population,4902
another province of Galicia,30-34,total,2011,Lugo,population,1459
another province of Galicia,30-34,total,2011,Ourense,population,1113
another province of Galicia,30-34,total,2011,Pontevedra,population,4173
another province of Galicia,30-34,male,2001,total,population,5297
another province of Galicia,30-34,male,2001,A Coruña,population,2312
another province of Galicia,30-34,male,2001,Lugo,population,535
another province of Galicia,30-34,male,2001,Ourense,population,506
another province of Galicia,30-34,male,2001,Pontevedra,population,1944
another province of Galicia,30-34,male,2011,total,population,5549
another province of Galicia,30-34,male,2011,A Coruña,population,2280
another province of Galicia,30-34,male,2011,Lugo,population,737
another province of Galicia,30-34,male,2011,Ourense,population,528
another province of Galicia,30-34,male,2011,Pontevedra,population,2005
another province of Galicia,30-34,female,2001,total,population,6161
another province of Galicia,30-34,female,2001,A Coruña,population,2686
another province of Galicia,30-34,female,2001,Lugo,population,680
another province of Galicia,30-34,female,2001,Ourense,population,593
another province of Galicia,30-34,female,2001,Pontevedra,population,2202
another province of Galicia,30-34,female,2011,total,population,6097
another province of Galicia,30-34,female,2011,A Coruña,population,2622
another province of Galicia,30-34,female,2011,Lugo,population,722
another province of Galicia,30-34,female,2011,Ourense,population,585
another province of Galicia,30-34,female,2011,Pontevedra,population,2168
another province of Galicia,35-39,total,2001,total,population,13989
another province of Galicia,35-39,total,2001,A Coruña,population,6387
another province of Galicia,35-39,total,2001,Lugo,population,1293
another province of Galicia,35-39,total,2001,Ourense,population,1351
another province of Galicia,35-39,total,2001,Pontevedra,population,4958
another province of Galicia,35-39,total,2011,total,population,14114
another province of Galicia,35-39,total,2011,A Coruña,population,6070
another province of Galicia,35-39,total,2011,Lugo,population,1573
another province of Galicia,35-39,total,2011,Ourense,population,1301
another province of Galicia,35-39,total,2011,Pontevedra,population,5169
another province of Galicia,35-39,male,2001,total,population,6502
another province of Galicia,35-39,male,2001,A Coruña,population,2924
another province of Galicia,35-39,male,2001,Lugo,population,596
another province of Galicia,35-39,male,2001,Ourense,population,621
another province of Galicia,35-39,male,2001,Pontevedra,population,2361
another province of Galicia,35-39,male,2011,total,population,6728
another province of Galicia,35-39,male,2011,A Coruña,population,2790
another province of Galicia,35-39,male,2011,Lugo,population,752
another province of Galicia,35-39,male,2011,Ourense,population,609
another province of Galicia,35-39,male,2011,Pontevedra,population,2578
another province of Galicia,35-39,female,2001,total,population,7487
another province of Galicia,35-39,female,2001,A Coruña,population,3463
another province of Galicia,35-39,female,2001,Lugo,population,697
another province of Galicia,35-39,female,2001,Ourense,population,730
another province of Galicia,35-39,female,2001,Pontevedra,population,2597
another province of Galicia,35-39,female,2011,total,population,7385
another province of Galicia,35-39,female,2011,A Coruña,population,3280
another province of Galicia,35-39,female,2011,Lugo,population,822
another province of Galicia,35-39,female,2011,Ourense,population,692
another province of Galicia,35-39,female,2011,Pontevedra,population,2591
another province of Galicia,40-44,total,2001,total,population,15662
another province of Galicia,40-44,total,2001,A Coruña,population,6864
another province of Galicia,40-44,total,2001,Lugo,population,1328
another province of Galicia,40-44,total,2001,Ourense,population,1578
another province of Galicia,40-44,total,2001,Pontevedra,population,5892
another province of Galicia,40-44,total,2011,total,population,14639
another province of Galicia,40-44,total,2011,A Coruña,population,6650
another province of Galicia,40-44,total,2011,Lugo,population,1454
another province of Galicia,40-44,total,2011,Ourense,population,1285
another province of Galicia,40-44,total,2011,Pontevedra,population,5250
another province of Galicia,40-44,male,2001,total,population,7283
another province of Galicia,40-44,male,2001,A Coruña,population,3252
another province of Galicia,40-44,male,2001,Lugo,population,632
another province of Galicia,40-44,male,2001,Ourense,population,712
another province of Galicia,40-44,male,2001,Pontevedra,population,2687
another province of Galicia,40-44,male,2011,total,population,7029
another province of Galicia,40-44,male,2011,A Coruña,population,3178
another province of Galicia,40-44,male,2011,Lugo,population,659
another province of Galicia,40-44,male,2011,Ourense,population,621
another province of Galicia,40-44,male,2011,Pontevedra,population,2570
another province of Galicia,40-44,female,2001,total,population,8379
another province of Galicia,40-44,female,2001,A Coruña,population,3612
another province of Galicia,40-44,female,2001,Lugo,population,696
another province of Galicia,40-44,female,2001,Ourense,population,866
another province of Galicia,40-44,female,2001,Pontevedra,population,3205
another province of Galicia,40-44,female,2011,total,population,7611
another province of Galicia,40-44,female,2011,A Coruña,population,3472
another province of Galicia,40-44,female,2011,Lugo,population,795
another province of Galicia,40-44,female,2011,Ourense,population,664
another province of Galicia,40-44,female,2011,Pontevedra,population,2680
another province of Galicia,45-49,total,2001,total,population,16665
another province of Galicia,45-49,total,2001,A Coruña,population,7089
another province of Galicia,45-49,total,2001,Lugo,population,1233
another province of Galicia,45-49,total,2001,Ourense,population,1603
another province of Galicia,45-49,total,2001,Pontevedra,population,6740
another province of Galicia,45-49,total,2011,total,population,15423
another province of Galicia,45-49,total,2011,A Coruña,population,7123
another province of Galicia,45-49,total,2011,Lugo,population,1448
another province of Galicia,45-49,total,2011,Ourense,population,1413
another province of Galicia,45-49,total,2011,Pontevedra,population,5440
another province of Galicia,45-49,male,2001,total,population,7838
another province of Galicia,45-49,male,2001,A Coruña,population,3283
another province of Galicia,45-49,male,2001,Lugo,population,590
another province of Galicia,45-49,male,2001,Ourense,population,788
another province of Galicia,45-49,male,2001,Pontevedra,population,3177
another province of Galicia,45-49,male,2011,total,population,7303
another province of Galicia,45-49,male,2011,A Coruña,population,3327
another province of Galicia,45-49,male,2011,Lugo,population,703
another province of Galicia,45-49,male,2011,Ourense,population,647
another province of Galicia,45-49,male,2011,Pontevedra,population,2627
another province of Galicia,45-49,female,2001,total,population,8827
another province of Galicia,45-49,female,2001,A Coruña,population,3806
another province of Galicia,45-49,female,2001,Lugo,population,643
another province of Galicia,45-49,female,2001,Ourense,population,815
another province of Galicia,45-49,female,2001,Pontevedra,population,3563
another province of Galicia,45-49,female,2011,total,population,8120
another province of Galicia,45-49,female,2011,A Coruña,population,3796
another province of Galicia,45-49,female,2011,Lugo,population,745
another province of Galicia,45-49,female,2011,Ourense,population,766
another province of Galicia,45-49,female,2011,Pontevedra,population,2813
another province of Galicia,50-54,total,2001,total,population,17236
another province of Galicia,50-54,total,2001,A Coruña,population,7202
another province of Galicia,50-54,total,2001,Lugo,population,1088
another province of Galicia,50-54,total,2001,Ourense,population,1529
another province of Galicia,50-54,total,2001,Pontevedra,population,7417
another province of Galicia,50-54,total,2011,total,population,16186
another province of Galicia,50-54,total,2011,A Coruña,population,7164
another province of Galicia,50-54,total,2011,Lugo,population,1340
another province of Galicia,50-54,total,2011,Ourense,population,1569
another province of Galicia,50-54,total,2011,Pontevedra,population,6112
another province of Galicia,50-54,male,2001,total,population,8451
another province of Galicia,50-54,male,2001,A Coruña,population,3476
another province of Galicia,50-54,male,2001,Lugo,population,523
another province of Galicia,50-54,male,2001,Ourense,population,737
another province of Galicia,50-54,male,2001,Pontevedra,population,3715
another province of Galicia,50-54,male,2011,total,population,7597
another province of Galicia,50-54,male,2011,A Coruña,population,3413
another province of Galicia,50-54,male,2011,Lugo,population,636
another province of Galicia,50-54,male,2011,Ourense,population,728
another province of Galicia,50-54,male,2011,Pontevedra,population,2821
another province of Galicia,50-54,female,2001,total,population,8785
another province of Galicia,50-54,female,2001,A Coruña,population,3726
another province of Galicia,50-54,female,2001,Lugo,population,565
another province of Galicia,50-54,female,2001,Ourense,population,792
another province of Galicia,50-54,female,2001,Pontevedra,population,3702
another province of Galicia,50-54,female,2011,total,population,8589
another province of Galicia,50-54,female,2011,A Coruña,population,3752
another province of Galicia,50-54,female,2011,Lugo,population,704
another province of Galicia,50-54,female,2011,Ourense,population,841
another province of Galicia,50-54,female,2011,Pontevedra,population,3291
another province of Galicia,55-59,total,2001,total,population,15844
another province of Galicia,55-59,total,2001,A Coruña,population,6631
another province of Galicia,55-59,total,2001,Lugo,population,977
another province of Galicia,55-59,total,2001,Ourense,population,1430
another province of Galicia,55-59,total,2001,Pontevedra,population,6806
another province of Galicia,55-59,total,2011,total,population,16713
another province of Galicia,55-59,total,2011,A Coruña,population,7148
another province of Galicia,55-59,total,2011,Lugo,population,1289
another province of Galicia,55-59,total,2011,Ourense,population,1607
another province of Galicia,55-59,total,2011,Pontevedra,population,6669
another province of Galicia,55-59,male,2001,total,population,7845
another province of Galicia,55-59,male,2001,A Coruña,population,3222
another province of Galicia,55-59,male,2001,Lugo,population,483
another province of Galicia,55-59,male,2001,Ourense,population,689
another province of Galicia,55-59,male,2001,Pontevedra,population,3451
another province of Galicia,55-59,male,2011,total,population,7855
another province of Galicia,55-59,male,2011,A Coruña,population,3323
another province of Galicia,55-59,male,2011,Lugo,population,619
another province of Galicia,55-59,male,2011,Ourense,population,786
another province of Galicia,55-59,male,2011,Pontevedra,population,3127
another province of Galicia,55-59,female,2001,total,population,7999
another province of Galicia,55-59,female,2001,A Coruña,population,3409
another province of Galicia,55-59,female,2001,Lugo,population,494
another province of Galicia,55-59,female,2001,Ourense,population,741
another province of Galicia,55-59,female,2001,Pontevedra,population,3355
another province of Galicia,55-59,female,2011,total,population,8858
another province of Galicia,55-59,female,2011,A Coruña,population,3825
another province of Galicia,55-59,female,2011,Lugo,population,670
another province of Galicia,55-59,female,2011,Ourense,population,821
another province of Galicia,55-59,female,2011,Pontevedra,population,3542
another province of Galicia,60-64,total,2001,total,population,11867
another province of Galicia,60-64,total,2001,A Coruña,population,4971
another province of Galicia,60-64,total,2001,Lugo,population,798
another province of Galicia,60-64,total,2001,Ourense,population,1160
another province of Galicia,60-64,total,2001,Pontevedra,population,4938
another province of Galicia,60-64,total,2011,total,population,17003
another province of Galicia,60-64,total,2011,A Coruña,population,7101
another province of Galicia,60-64,total,2011,Lugo,population,1096
another province of Galicia,60-64,total,2011,Ourense,population,1524
another province of Galicia,60-64,total,2011,Pontevedra,population,7282
another province of Galicia,60-64,male,2001,total,population,5845
another province of Galicia,60-64,male,2001,A Coruña,population,2443
another province of Galicia,60-64,male,2001,Lugo,population,348
another province of Galicia,60-64,male,2001,Ourense,population,592
another province of Galicia,60-64,male,2001,Pontevedra,population,2462
another province of Galicia,60-64,male,2011,total,population,8224
another province of Galicia,60-64,male,2011,A Coruña,population,3380
another province of Galicia,60-64,male,2011,Lugo,population,522
another province of Galicia,60-64,male,2011,Ourense,population,725
another province of Galicia,60-64,male,2011,Pontevedra,population,3598
another province of Galicia,60-64,female,2001,total,population,6022
another province of Galicia,60-64,female,2001,A Coruña,population,2528
another province of Galicia,60-64,female,2001,Lugo,population,450
another province of Galicia,60-64,female,2001,Ourense,population,568
another province of Galicia,60-64,female,2001,Pontevedra,population,2476
another province of Galicia,60-64,female,2011,total,population,8778
another province of Galicia,60-64,female,2011,A Coruña,population,3722
another province of Galicia,60-64,female,2011,Lugo,population,573
another province of Galicia,60-64,female,2011,Ourense,population,799
another province of Galicia,60-64,female,2011,Pontevedra,population,3685
another province of Galicia,65-69,total,2001,total,population,13161
another province of Galicia,65-69,total,2001,A Coruña,population,5574
another province of Galicia,65-69,total,2001,Lugo,population,1017
another province of Galicia,65-69,total,2001,Ourense,population,1295
another province of Galicia,65-69,total,2001,Pontevedra,population,5275
another province of Galicia,65-69,total,2011,total,population,15483
another province of Galicia,65-69,total,2011,A Coruña,population,6459
another province of Galicia,65-69,total,2011,Lugo,population,979
another province of Galicia,65-69,total,2011,Ourense,population,1397
another province of Galicia,65-69,total,2011,Pontevedra,population,6648
another province of Galicia,65-69,male,2001,total,population,6217
another province of Galicia,65-69,male,2001,A Coruña,population,2603
another province of Galicia,65-69,male,2001,Lugo,population,472
another province of Galicia,65-69,male,2001,Ourense,population,650
another province of Galicia,65-69,male,2001,Pontevedra,population,2492
another province of Galicia,65-69,male,2011,total,population,7539
another province of Galicia,65-69,male,2011,A Coruña,population,3106
another province of Galicia,65-69,male,2011,Lugo,population,471
another province of Galicia,65-69,male,2011,Ourense,population,669
another province of Galicia,65-69,male,2011,Pontevedra,population,3293
another province of Galicia,65-69,female,2001,total,population,6944
another province of Galicia,65-69,female,2001,A Coruña,population,2971
another province of Galicia,65-69,female,2001,Lugo,population,545
another province of Galicia,65-69,female,2001,Ourense,population,645
another province of Galicia,65-69,female,2001,Pontevedra,population,2783
another province of Galicia,65-69,female,2011,total,population,7944
another province of Galicia,65-69,female,2011,A Coruña,population,3353
another province of Galicia,65-69,female,2011,Lugo,population,508
another province of Galicia,65-69,female,2011,Ourense,population,728
another province of Galicia,65-69,female,2011,Pontevedra,population,3355
another province of Galicia,70-74,total,2001,total,population,10285
another province of Galicia,70-74,total,2001,A Coruña,population,4170
another province of Galicia,70-74,total,2001,Lugo,population,883
another province of Galicia,70-74,total,2001,Ourense,population,1124
another province of Galicia,70-74,total,2001,Pontevedra,population,4108
another province of Galicia,70-74,total,2011,total,population,11235
another province of Galicia,70-74,total,2011,A Coruña,population,4726
another province of Galicia,70-74,total,2011,Lugo,population,803
another province of Galicia,70-74,total,2011,Ourense,population,1051
another province of Galicia,70-74,total,2011,Pontevedra,population,4655
another province of Galicia,70-74,male,2001,total,population,4600
another province of Galicia,70-74,male,2001,A Coruña,population,1875
another province of Galicia,70-74,male,2001,Lugo,population,383
another province of Galicia,70-74,male,2001,Ourense,population,518
another province of Galicia,70-74,male,2001,Pontevedra,population,1824
another province of Galicia,70-74,male,2011,total,population,5332
another province of Galicia,70-74,male,2011,A Coruña,population,2216
another province of Galicia,70-74,male,2011,Lugo,population,336
another province of Galicia,70-74,male,2011,Ourense,population,521
another province of Galicia,70-74,male,2011,Pontevedra,population,2259
another province of Galicia,70-74,female,2001,total,population,5685
another province of Galicia,70-74,female,2001,A Coruña,population,2295
another province of Galicia,70-74,female,2001,Lugo,population,500
another province of Galicia,70-74,female,2001,Ourense,population,606
another province of Galicia,70-74,female,2001,Pontevedra,population,2284
another province of Galicia,70-74,female,2011,total,population,5902
another province of Galicia,70-74,female,2011,A Coruña,population,2510
another province of Galicia,70-74,female,2011,Lugo,population,467
another province of Galicia,70-74,female,2011,Ourense,population,529
another province of Galicia,70-74,female,2011,Pontevedra,population,2396
another province of Galicia,75-79,total,2001,total,population,7969
another province of Galicia,75-79,total,2001,A Coruña,population,3148
another province of Galicia,75-79,total,2001,Lugo,population,702
another province of Galicia,75-79,total,2001,Ourense,population,843
another province of Galicia,75-79,total,2001,Pontevedra,population,3276
another province of Galicia,75-79,total,2011,total,population,11858
another province of Galicia,75-79,total,2011,A Coruña,population,5053
another province of Galicia,75-79,total,2011,Lugo,population,928
another province of Galicia,75-79,total,2011,Ourense,population,1119
another province of Galicia,75-79,total,2011,Pontevedra,population,4758
another province of Galicia,75-79,male,2001,total,population,3250
another province of Galicia,75-79,male,2001,A Coruña,population,1288
another province of Galicia,75-79,male,2001,Lugo,population,288
another province of Galicia,75-79,male,2001,Ourense,population,367
another province of Galicia,75-79,male,2001,Pontevedra,population,1307
another province of Galicia,75-79,male,2011,total,population,5188
another province of Galicia,75-79,male,2011,A Coruña,population,2170
another province of Galicia,75-79,male,2011,Lugo,population,409
another province of Galicia,75-79,male,2011,Ourense,population,526
another province of Galicia,75-79,male,2011,Pontevedra,population,2084
another province of Galicia,75-79,female,2001,total,population,4719
another province of Galicia,75-79,female,2001,A Coruña,population,1860
another province of Galicia,75-79,female,2001,Lugo,population,414
another province of Galicia,75-79,female,2001,Ourense,population,476
another province of Galicia,75-79,female,2001,Pontevedra,population,1969
another province of Galicia,75-79,female,2011,total,population,6670
another province of Galicia,75-79,female,2011,A Coruña,population,2883
another province of Galicia,75-79,female,2011,Lugo,population,519
another province of Galicia,75-79,female,2011,Ourense,population,593
another province of Galicia,75-79,female,2011,Pontevedra,population,2674
another province of Galicia,80-84,total,2001,total,population,5349
another province of Galicia,80-84,total,2001,A Coruña,population,2221
another province of Galicia,80-84,total,2001,Lugo,population,462
another province of Galicia,80-84,total,2001,Ourense,population,561
another province of Galicia,80-84,total,2001,Pontevedra,population,2105
another province of Galicia,80-84,total,2011,total,population,8302
another province of Galicia,80-84,total,2011,A Coruña,population,3321
another province of Galicia,80-84,total,2011,Lugo,population,696
another province of Galicia,80-84,total,2011,Ourense,population,864
another province of Galicia,80-84,total,2011,Pontevedra,population,3421
another province of Galicia,80-84,male,2001,total,population,1921
another province of Galicia,80-84,male,2001,A Coruña,population,802
another province of Galicia,80-84,male,2001,Lugo,population,176
another province of Galicia,80-84,male,2001,Ourense,population,194
another province of Galicia,80-84,male,2001,Pontevedra,population,749
another province of Galicia,80-84,male,2011,total,population,3255
another province of Galicia,80-84,male,2011,A Coruña,population,1298
another province of Galicia,80-84,male,2011,Lugo,population,261
another province of Galicia,80-84,male,2011,Ourense,population,355
another province of Galicia,80-84,male,2011,Pontevedra,population,1341
another province of Galicia,80-84,female,2001,total,population,3428
another province of Galicia,80-84,female,2001,A Coruña,population,1419
another province of Galicia,80-84,female,2001,Lugo,population,286
another province of Galicia,80-84,female,2001,Ourense,population,367
another province of Galicia,80-84,female,2001,Pontevedra,population,1356
another province of Galicia,80-84,female,2011,total,population,5046
another province of Galicia,80-84,female,2011,A Coruña,population,2023
another province of Galicia,80-84,female,2011,Lugo,population,435
another province of Galicia,80-84,female,2011,Ourense,population,509
another province of Galicia,80-84,female,2011,Pontevedra,population,2081
another province of Galicia,85-89,total,2001,total,population,3204
another province of Galicia,85-89,total,2001,A Coruña,population,1356
another province of Galicia,85-89,total,2001,Lugo,population,289
another province of Galicia,85-89,total,2001,Ourense,population,331
another province of Galicia,85-89,total,2001,Pontevedra,population,1228
another province of Galicia,85-89,total,2011,total,population,5098
another province of Galicia,85-89,total,2011,A Coruña,population,2007
another province of Galicia,85-89,total,2011,Lugo,population,442
another province of Galicia,85-89,total,2011,Ourense,population,483
another province of Galicia,85-89,total,2011,Pontevedra,population,2167
another province of Galicia,85-89,male,2001,total,population,1064
another province of Galicia,85-89,male,2001,A Coruña,population,479
another province of Galicia,85-89,male,2001,Lugo,population,94
another province of Galicia,85-89,male,2001,Ourense,population,112
another province of Galicia,85-89,male,2001,Pontevedra,population,379
another province of Galicia,85-89,male,2011,total,population,1739
another province of Galicia,85-89,male,2011,A Coruña,population,666
another province of Galicia,85-89,male,2011,Lugo,population,146
another province of Galicia,85-89,male,2011,Ourense,population,187
another province of Galicia,85-89,male,2011,Pontevedra,population,741
another province of Galicia,85-89,female,2001,total,population,2140
another province of Galicia,85-89,female,2001,A Coruña,population,877
another province of Galicia,85-89,female,2001,Lugo,population,195
another province of Galicia,85-89,female,2001,Ourense,population,219
another province of Galicia,85-89,female,2001,Pontevedra,population,849
another province of Galicia,85-89,female,2011,total,population,3359
another province of Galicia,85-89,female,2011,A Coruña,population,1341
another province of Galicia,85-89,female,2011,Lugo,population,296
another province of Galicia,85-89,female,2011,Ourense,population,296
another province of Galicia,85-89,female,2011,Pontevedra,population,1426
another province of Galicia,90-94,total,2001,total,population,1077
another province of Galicia,90-94,total,2001,A Coruña,population,454
another province of Galicia,90-94,total,2001,Lugo,population,81
another province of Galicia,90-94,total,2001,Ourense,population,114
another province of Galicia,90-94,total,2001,Pontevedra,population,428
another province of Galicia,90-94,total,2011,total,population,2134
another province of Galicia,90-94,total,2011,A Coruña,population,838
another province of Galicia,90-94,total,2011,Lugo,population,189
another province of Galicia,90-94,total,2011,Ourense,population,229
another province of Galicia,90-94,total,2011,Pontevedra,population,878
another province of Galicia,90-94,male,2001,total,population,368
another province of Galicia,90-94,male,2001,A Coruña,population,161
another province of Galicia,90-94,male,2001,Lugo,population,26
another province of Galicia,90-94,male,2001,Ourense,population,40
another province of Galicia,90-94,male,2001,Pontevedra,population,141
another province of Galicia,90-94,male,2011,total,population,596
another province of Galicia,90-94,male,2011,A Coruña,population,232
another province of Galicia,90-94,male,2011,Lugo,population,59
another province of Galicia,90-94,male,2011,Ourense,population,62
another province of Galicia,90-94,male,2011,Pontevedra,population,244
another province of Galicia,90-94,female,2001,total,population,829
another province of Galicia,90-94,female,2001,A Coruña,population,344
another province of Galicia,90-94,female,2001,Lugo,population,64
another province of Galicia,90-94,female,2001,Ourense,population,85
another province of Galicia,90-94,female,2001,Pontevedra,population,336
another province of Galicia,90-94,female,2011,total,population,1538
another province of Galicia,90-94,female,2011,A Coruña,population,606
another province of Galicia,90-94,female,2011,Lugo,population,130
another province of Galicia,90-94,female,2011,Ourense,population,167
another province of Galicia,90-94,female,2011,Pontevedra,population,635
another province of Galicia,95-99,total,2001,total,population,283
another province of Galicia,95-99,total,2001,A Coruña,population,120
another province of Galicia,95-99,total,2001,Lugo,population,17
another province of Galicia,95-99,total,2001,Ourense,population,28
another province of Galicia,95-99,total,2001,Pontevedra,population,118
another province of Galicia,95-99,total,2011,total,population,598
another province of Galicia,95-99,total,2011,A Coruña,population,244
another province of Galicia,95-99,total,2011,Lugo,population,44
another province of Galicia,95-99,total,2011,Ourense,population,60
another province of Galicia,95-99,total,2011,Pontevedra,population,250
another province of Galicia,95-99,male,2001,total,population,72
another province of Galicia,95-99,male,2001,A Coruña,population,33
another province of Galicia,95-99,male,2001,Lugo,population,2
another province of Galicia,95-99,male,2001,Ourense,population,10
another province of Galicia,95-99,male,2001,Pontevedra,population,27
another province of Galicia,95-99,male,2011,total,population,153
another province of Galicia,95-99,male,2011,A Coruña,population,66
another province of Galicia,95-99,male,2011,Lugo,population,12
another province of Galicia,95-99,male,2011,Ourense,population,11
another province of Galicia,95-99,male,2011,Pontevedra,population,64
another province of Galicia,95-99,female,2001,total,population,211
another province of Galicia,95-99,female,2001,A Coruña,population,87
another province of Galicia,95-99,female,2001,Lugo,population,15
another province of Galicia,95-99,female,2001,Ourense,population,18
another province of Galicia,95-99,female,2001,Pontevedra,population,91
another province of Galicia,95-99,female,2011,total,population,445
another province of Galicia,95-99,female,2011,A Coruña,population,178
another province of Galicia,95-99,female,2011,Lugo,population,32
another province of Galicia,95-99,female,2011,Ourense,population,49
another province of Galicia,95-99,female,2011,Pontevedra,population,186
another province of Galicia,100+,total,2001,total,population,30
another province of Galicia,100+,total,2001,A Coruña,population,9
another province of Galicia,100+,total,2001,Lugo,population,2
another province of Galicia,100+,total,2001,Ourense,population,5
another province of Galicia,100+,total,2001,Pontevedra,population,14
another province of Galicia,100+,total,2011,total,population,84
another province of Galicia,100+,total,2011,A Coruña,population,21
another province of Galicia,100+,total,2011,Lugo,population,10
another province of Galicia,100+,total,2011,Ourense,population,14
another province of Galicia,100+,total,2011,Pontevedra,population,39
another province of Galicia,100+,male,2001,total,population,2
another province of Galicia,100+,male,2001,A Coruña,population,1
another province of Galicia,100+,male,2001,Lugo,population,1
another province of Galicia,100+,male,2001,Ourense,population,0
another province of Galicia,100+,male,2001,Pontevedra,population,0
another province of Galicia,100+,male,2011,total,population,26
another province of Galicia,100+,male,2011,A Coruña,population,7
another province of Galicia,100+,male,2011,Lugo,population,2
another province of Galicia,100+,male,2011,Ourense,population,4
another province of Galicia,100+,male,2011,Pontevedra,population,14
another province of Galicia,100+,female,2001,total,population,28
another province of Galicia,100+,female,2001,A Coruña,population,8
another province of Galicia,100+,female,2001,Lugo,population,1
another province of Galicia,100+,female,2001,Ourense,population,5
another province of Galicia,100+,female,2001,Pontevedra,population,14
